source_paragraph,target_paragraph,context,regulation_id,section_id
6.17,6.16,"For the purposes of paragraphs 6.16(d) and 6.16(e)(ii), a bank shall document the basis for its determination that",MAS-626,MAS-626-S6
6.17A,6.17B,Paragraphs 6.17B and 6.17C shall apply where a bank distributes life policies on behalf of a direct life i,MAS-626,MAS-626-S6
6.17A,6.17C,Paragraphs 6.17B and 6.17C shall apply where a bank distributes life policies on behalf of a direct life i,MAS-626,MAS-626-S6
6.20,6.16,e investment vehicle are distributed by a financial institution as described in paragraphs 6.16 (c) or 6.16(d). 16 source of funds. If a bank is participating in COSMIC and re,MAS-626,MAS-626-S6
6.23,6.21,"extent possible, inquire into the background and purpose of the transactions in paragraph 6.21 and document its findings with a view to making this information available to t",MAS-626,MAS-626-S6
6.26,6.25,"ssesses the customer or the business relations with the customer referred to in paragraph 6.25 to be of higher risk, the bank shall perform enhanced CDD measures, which shall",MAS-626,MAS-626-S6
6.28,6.27,A bank shall implement the policies and procedures referred to in paragraph 6.27 when establishing business relations with a customer and when conducting ongoin,MAS-626,MAS-626-S6
6.31,6.31A,"lue exceeding S$20,000, other than any digital token transaction referred to in paragraph 6.31A, or effects or receives any funds by domestic wire transfer, or by cross-border",MAS-626,MAS-626-S6
6.32,6.33,"Subject to paragraphs 6.33 and 6.34, a bank shall complete verification of the identity of a customer as required b",MAS-626,MAS-626-S6
6.32,6.34,"Subject to paragraphs 6.33 and 6.34, a bank shall complete verification of the identity of a customer as required b",MAS-626,MAS-626-S6
6.32,6.9,"a bank shall complete verification of the identity of a customer as required by paragraph 6.9, natural persons appointed to act on behalf of the customer as required by para",MAS-626,MAS-626-S6
6.32,6.10,"6.9, natural persons appointed to act on behalf of the customer as required by paragraph 6.10(b) and beneficial owners of the customer as required by paragraph 6.14B - (a) b",MAS-626,MAS-626-S6
6.32,6.14B,uired by paragraph 6.10(b) and beneficial owners of the customer as required by paragraph 6.14B - (a) before the bank establishes business relations with the customer; (b) bef,MAS-626,MAS-626-S6
6.33,6.9,"fore completing the verification of the identity of the customer as required by paragraph 6.9, natural persons appointed to act on behalf of the customer as required by para",MAS-626,MAS-626-S6
6.33,6.10,"6.9, natural persons appointed to act on behalf of the customer as required by paragraph 6.10(b) and beneficial owners of the customer as required by paragraph 6.14B if – (a",MAS-626,MAS-626-S6
6.33,6.14B,uired by paragraph 6.10(b) and beneficial owners of the customer as required by paragraph 6.14B if – (a) the deferral of completion of the verification is essential in order n,MAS-626,MAS-626-S6
6.34,6.9,"ns with a customer before verifying the identity of the customer as required by paragraph 6.9, natural persons appointed to act on behalf of the customer as required by para",MAS-626,MAS-626-S6
6.34,6.10,"6.9, natural persons appointed to act on behalf of the customer as required by paragraph 6.10(b), and beneficial owners of the customer as required by paragraph 6.14B, the b",MAS-626,MAS-626-S6
6.34,6.14B,"ired by paragraph 6.10(b), and beneficial owners of the customer as required by paragraph 6.14B, the bank shall - (a) develop and implement internal risk management policies a",MAS-626,MAS-626-S6
6.36,6.35,"For the purposes of paragraph 6.35, completion of the measures means the situation where the bank has obtained, sc",MAS-626,MAS-626-S6
6.36,6.33,"ined, screened and verified (including by delayed verification as allowed under paragraphs 6.33 and 6.34) all necessary CDD information required under paragraphs 6, 7 and 8, and where",MAS-626,MAS-626-S6
6.36,6.34,"ined, screened and verified (including by delayed verification as allowed under paragraphs 6.33 and 6.34) all necessary CDD information required under paragraphs 6, 7 and 8, and where",MAS-626,MAS-626-S6
6.40,6.39,"A bank shall screen the persons referred to in paragraph 6.39 - (a) when, or as soon as reasonably practicable after, the bank establishes bu",MAS-626,MAS-626-S6
7.1,7.4,"Subject to paragraph 7.4, a bank may perform simplified CDD measures in relation to a customer, any natu",MAS-626,MAS-626-S7
7.1,6.16,ny beneficial owner that the bank is exempted from making inquiries about under paragraph 6.16) if it is satisfied that the risks of money laundering and terrorism financing,MAS-626,MAS-626-S7
7.5,7.2,"Subject to paragraphs 7.2, 7.3 and 7.4, a bank may perform simplified CDD measures in relation to a customer that is a",MAS-626,MAS-626-S7
7.5,7.3,"Subject to paragraphs 7.2, 7.3 and 7.4, a bank may perform simplified CDD measures in relation to a customer that is a",MAS-626,MAS-626-S7
7.5,7.4,"Subject to paragraphs 7.2, 7.3 and 7.4, a bank may perform simplified CDD measures in relation to a customer that is a",MAS-626,MAS-626-S7
8.3,8.2,"n , or a family member or close associate of a politically exposed person under paragraph 8.2: (a) obtain approval from the bank’s senior management to establish or continue",MAS-626,MAS-626-S8
8.6,8.5,"For the purposes of paragraph 8.5, circumstances where a customer presents or may present a higher risk for money",MAS-626,MAS-626-S8
8.7,8.3,A bank shall perform the appropriate enhanced CDD measures in paragraph 8.3 for business relations with or transactions for any customer - (a) who the bank,MAS-626,MAS-626-S8
8.7,8.5,tions with or transactions for any customer - (a) who the bank determines under paragraph 8.5; or (b) the Authority or other relevant authorities in Singapore notify to the,MAS-626,MAS-626-S8
9.2,9.3,"Subject to paragraph 9.3, a bank may rely on a third party to perform the measures as required by paragr",MAS-626,MAS-626-S9
9.4,9.2,"it shall - (a) document the basis for its satisfaction that the requirements in paragraphs 9.2(a) and (b) have been met, except where the third party is a financial instituti",MAS-626,MAS-626-S9
10.5,10.3,ent bank shall document the basis for its satisfaction that the requirements in paragraphs 10.3 and 10.4 are met.,MAS-626,MAS-626-S10
10.5,10.4,ent bank shall document the basis for its satisfaction that the requirements in paragraphs 10.3 and 10.4 are met.,MAS-626,MAS-626-S10
11.5,11.4,n that accompanies or relates to the wire transfer the information requi red by paragraphs 11.4(a) to 11.4(d) and any of the following: 30 (a) the wire transfer originator’s -,MAS-626,MAS-626-S11
11.6,11.57,ansfer file contains - (a) the wire transfer originator information required by paragraph 11.57 and which has been verified; and (b) the wire transfer beneficiary information,MAS-626,MAS-626-S11
11.6,11.58,"as been verified; and (b) the wire transfer beneficiary information required by paragraph 11.58, which are fully traceable within the beneficiary country or jurisdiction. (IV)",MAS-626,MAS-626-S11
11.7,11.4,nsfer originator’s: (1) residential address; or 7 Please note the references to paragraphs 11.4(a) and (b) in paragraph 11.5. 8 Please note the references to paragraphs 11.4(c,MAS-626,MAS-626-S11
11.7,11.5,ntial address; or 7 Please note the references to paragraphs 11.4(a) and (b) in paragraph 11.5. 8 Please note the references to paragraphs 11.4(c) and (d) in paragraph 11.5.,MAS-626,MAS-626-S11
11.7,11.4,"o paragraphs 11.4(a) and (b) in paragraph 11.5. 8 Please note the references to paragraphs 11.4(c) and (d) in paragraph 11.5. 31 (2) registered or business address, and if dif",MAS-626,MAS-626-S11
11.7,11.5,"n paragraph 11.5. 8 Please note the references to paragraphs 11.4(c) and (d) in paragraph 11.5. 31 (2) registered or business address, and if different, principal place of bu",MAS-626,MAS-626-S11
11.16,11.4,er originator information and value transfer beneficiary information set out in paragraphs 11.4(a) to (d) immediately upon request for such information by law enforcement auth,MAS-626,MAS-626-S11
11.16,11.4,"er originator information and value transfer beneficiary information set out in paragraphs 11.4(a) to (d) to the beneficiary institution. (III) Value Transfers Exceeding S$1,5",MAS-626,MAS-626-S11
12.2,12.1,A bank shall perform the measures as required by paragraph 12.1 such that - (a) all requirements imposed by law (including this Notice) are met,MAS-626,MAS-626-S12
12.3,12.5,"Subject to paragraph 12.5 and any other requirements imposed by law, a bank shall, for the purposes of re",MAS-626,MAS-626-S12
12.3,12.1,"ements imposed by law, a bank shall, for the purposes of record retention under paragraphs 12.1 and 12.2, and when setting its record retention policies, comply with the following reco",MAS-626,MAS-626-S12
12.3,12.2,"ements imposed by law, a bank shall, for the purposes of record retention under paragraphs 12.1 and 12.2, and when setting its record retention policies, comply with the following reco",MAS-626,MAS-626-S12
13.2,13.3,"Subject to paragraph 13.3 and for the purposes of complying with this Notice, a bank shall not be require",MAS-626,MAS-626-S13
15.3,15.4,"For the purposes of paragraphs 15.4 to 15.9, a reference to “bank” means a bank incorporated in Singapore.",MAS-626,MAS-626-S15
15.3,15.9,"For the purposes of paragraphs 15.4 to 15.9, a reference to “bank” means a bank incorporated in Singapore.",MAS-626,MAS-626-S15
15.7A,15.7,"For the purposes of paragraph 15.7, the information to be shared within the bank’s financial group shall include a",MAS-626,MAS-626-S15
